index,file_id,book_id,chapter
432,432,356,Nan
433,433,658,Nan
434,434,657,Nan
435,435,817,Nan
436,436,163,Nan
738,738,893,Nan
767,767,140,Nan
768,768,83,Nan
769,769,354,Nan
793,793,210,Index
794,794,210,Introduction
795,795,210,Book01
796,796,210,Book03
797,797,210,Book02
798,798,210,Book05
799,799,210,Book04
1157,1142,278,Book09
1158,1143,278,Book20
1159,1144,278,Book08
1160,1145,278,Index
1161,1146,278,Book18
1162,1147,278,Book19
1163,1148,278,Book14
1164,1149,278,Book15
1165,1150,278,Book01
1166,1151,278,Book17
1167,1152,278,Book03
1168,1153,278,Book02
1169,1154,278,Book16
1170,1155,278,Book12
1171,1156,278,Book06
1172,1157,278,Book07
1173,1158,278,Book13
1174,1159,278,Book05
1175,1160,278,Book11
1176,1161,278,Book10
1177,1162,278,Book04
1190,1175,441,Canto45
1191,1176,441,Canto44
1192,1177,441,Canto46
1193,1178,441,Canto43
1194,1179,441,Index
1195,1180,441,Canto42
1196,1181,441,Canto40
1197,1182,441,Canto41
1198,1183,441,Canto32
1199,1184,441,Canto26
1200,1185,441,Canto27
1201,1186,441,Canto33
1202,1187,441,Canto25
1203,1188,441,Canto31
1204,1189,441,Canto19
1205,1190,441,Canto18
1206,1191,441,Canto30
1207,1192,441,Canto24
1208,1193,441,Canto08
1209,1194,441,Canto20
1210,1195,441,Canto34
1211,1196,441,Canto35
1212,1197,441,Canto21
1213,1198,441,Canto09
1214,1199,441,Canto37
1215,1200,441,Canto23
1216,1201,441,Canto22
1217,1202,441,Canto36
1218,1203,441,Canto13
1219,1204,441,Canto07
1220,1205,441,Canto06
1221,1206,441,Canto12
1222,1207,441,Canto04
1223,1208,441,Canto10
1224,1209,441,Canto38
1225,1210,441,Canto39
1226,1211,441,Canto11
1227,1212,441,Canto05
1228,1213,441,Canto29
1229,1214,441,Canto01
1230,1215,441,Canto15
1231,1216,441,Canto14
1232,1217,441,Canto28
1233,1218,441,Canto16
1234,1219,441,Canto02
1235,1220,441,Introduction
1236,1221,441,Canto03
1237,1222,441,Canto17
9866,8385,1052,More2-9
9867,8386,1052,More2-8
9868,8387,1052,Book1
9869,8388,1052,Index
9870,8389,1052,Book2-1
9871,8390,1052,More2-3
9872,8391,1052,More2-2
9873,8392,1052,More2-6
9874,8393,1052,More2-7
9875,8394,1052,More2-5
9876,8395,1052,More2-4
