index,file_id,book_id,chapter
415,415,262,Nan
1186,1171,743,Index
1187,1172,743,Paradiso
1188,1173,743,Inferno
1189,1174,743,Purgatorio
2216,1921,739,Day07
2217,1922,739,Day06
2218,1923,739,Day10
2219,1924,739,Day04
2220,1925,739,Day05
2221,1926,739,Day01
2222,1927,739,Day02
2223,1928,739,Induction00
2224,1929,739,Day03
2225,1930,739,Index
2226,1931,739,Day08
2227,1932,739,Day09
5073,4323,310,Preface Of William Caxton
5074,4324,310,Bibliographical Note
5075,9430,310,Volumetwo-book21
5076,9431,310,Volumetwo-book20
5077,9432,310,Volumetwo-book18
5078,9433,310,Volumetwo-book19
5079,9434,310,Volumetwo-book14
5080,9435,310,Volumetwo-book15
5081,9436,310,Volumetwo-book17
5082,9437,310,Volumetwo-book16
5083,9438,310,Volumetwo-book12
5084,9439,310,Volumetwo-book13
5085,9440,310,Volumetwo-book11
5086,9441,310,Volumetwo-book10
5087,9442,310,Volumeone-book09
5088,9443,310,Volumeone-book08
5089,9444,310,Volumeone-book01
5090,9445,310,Volumeone-book03
5091,9446,310,Volumeone-book02
5092,9447,310,Volumeone-book06
5093,9448,310,Volumeone-book07
5094,9449,310,Volumeone-book05
5095,9450,310,Volumeone-book04
