index,file_id,book_id,chapter
70,70,898,Nan
236,236,856,Nan
237,237,946,Nan
238,238,100,Nan
239,239,980,Nan
240,240,284,Nan
241,241,150,Nan
242,242,143,Nan
243,243,908,Nan
244,244,883,Nan
245,245,291,Nan
246,246,64,Nan
247,247,24,Nan
248,248,1055,Nan
249,249,290,Nan
250,250,961,Nan
251,251,386,Nan
252,252,799,Nan
253,253,296,Nan
254,254,1038,Nan
255,255,876,Nan
256,256,443,Nan
257,257,1022,Nan
258,258,298,Nan
259,259,295,Nan
260,260,297,Nan
261,261,1003,Nan
262,262,833,Nan
263,263,292,Nan
264,264,293,Nan
265,265,289,Nan
266,266,338,Nan
267,267,294,Nan
268,268,853,Nan
269,269,288,Nan
270,270,96,Nan
271,271,26,Nan
272,272,342,Nan
273,273,720,Nan
274,274,227,Nan
275,275,609,Nan
276,276,543,Nan
277,277,359,Nan
278,278,960,Nan
431,431,203,Nan
547,547,220,Nan
591,591,339,Nan
682,682,264,Nan
683,683,757,Nan
684,684,758,Nan
685,685,42,Nan
686,686,759,Nan
687,687,44,Nan
688,688,431,Nan
689,689,756,Nan
690,690,760,Nan
691,691,43,Nan
692,692,41,Nan
693,693,263,Nan
725,725,796,Nan
736,736,206,Nan
737,737,180,Nan
771,771,1036,Nan
1460,1445,162,Index
1461,1446,162,Some Commendatory Verses
1462,1447,162,Translator's Preface
1463,1448,162,The Author's Preface
1464,8695,162,Part 2-chapter22
1465,8696,162,Part 2-chapter36
1466,8697,162,Part 2-chapter37
1467,8698,162,Part 2-chapter23
1468,8699,162,Part 2-chapter09
1469,8700,162,Part 2-chapter35
1470,8701,162,Part 2-chapter21
1471,8702,162,Part 2-chapter20
1472,8703,162,Part 2-chapter34
1473,8704,162,Part 2-chapter08
1474,8705,162,Part 2-chapter30
1475,8706,162,Part 2-chapter24
1476,8707,162,Part 2-chapter18
1477,8708,162,Part 2-chapter19
1478,8709,162,Part 2-chapter25
1479,8710,162,Part 2-chapter31
1480,8711,162,Part 2-chapter27
1481,8712,162,Part 2-chapter33
1482,8713,162,Part 2-chapter32
1483,8714,162,Part 2-chapter26
1484,8715,162,Part 2-chapter69
1485,8716,162,Part 2-chapter41
1486,8717,162,Part 2-chapter55
1487,8718,162,Part 2-chapter54
1488,8719,162,Part 2-chapter40
1489,8720,162,Part 2-chapter68
1490,8721,162,Part 2-chapter56
1491,8722,162,Part 2-chapter42
1492,8723,162,Part 2-chapter43
1493,8724,162,Part 2-chapter57
1494,8725,162,Part 2-chapter53
1495,8726,162,Part 2-chapter47
1496,8727,162,Part 2-chapter46
1497,8728,162,Part 2-chapter52
1498,8729,162,Part 2-chapter44
1499,8730,162,Part 2-chapter50
1500,8731,162,Part 2-dedication Of Part 2
1501,8732,162,Part 2-chapter51
1502,8733,162,Part 2-chapter45
1503,8734,162,Part 2-chapter48
1504,8735,162,Part 2-chapter60
1505,8736,162,Part 2-chapter74
1506,8737,162,Part 2-chapter61
1507,8738,162,Part 2-chapter49
1508,8739,162,Part 2-chapter63
1509,8740,162,Part 2-chapter62
1510,8741,162,Part 2-chapter72
1511,8742,162,Part 2-chapter66
1512,8743,162,Part 2-chapter67
1513,8744,162,Part 2-chapter73
1514,8745,162,Part 2-chapter65
1515,8746,162,Part 2-chapter71
1516,8747,162,Part 2-chapter59
1517,8748,162,Part 2-chapter58
1518,8749,162,Part 2-chapter70
1519,8750,162,Part 2-chapter64
1520,8751,162,Part 2-chapter03
1521,8752,162,Part 2-chapter17
1522,8753,162,Part 2-the Author's Preface
1523,8754,162,Part 2-chapter16
1524,8755,162,Part 2-chapter02
1525,8756,162,Part 2-chapter28
1526,8757,162,Part 2-chapter14
1527,8758,162,Part 2-chapter01
1528,8759,162,Part 2-chapter15
1529,8760,162,Part 2-chapter29
1530,8761,162,Part 2-chapter11
1531,8762,162,Part 2-chapter05
1532,8763,162,Part 2-chapter39
1533,8764,162,Part 2-chapter38
1534,8765,162,Part 2-chapter04
1535,8766,162,Part 2-chapter10
1536,8767,162,Part 2-chapter06
1537,8768,162,Part 2-chapter12
1538,8769,162,Part 2-chapter13
1539,8770,162,Part 2-chapter07
1540,8771,162,Part 1-chapter22
1541,8772,162,Part 1-chapter36
1542,8773,162,Part 1-chapter37
1543,8774,162,Part 1-chapter23
1544,8775,162,Part 1-chapter09
1545,8776,162,Part 1-chapter35
1546,8777,162,Part 1-chapter21
1547,8778,162,Part 1-chapter20
1548,8779,162,Part 1-chapter34
1549,8780,162,Part 1-chapter08
1550,8781,162,Part 1-chapter30
1551,8782,162,Part 1-chapter24
1552,8783,162,Part 1-chapter18
1553,8784,162,Part 1-chapter19
1554,8785,162,Part 1-chapter25
1555,8786,162,Part 1-chapter31
1556,8787,162,Part 1-chapter27
1557,8788,162,Part 1-chapter33
1558,8789,162,Part 1-chapter32
1559,8790,162,Part 1-chapter26
1560,8791,162,Part 1-chapter41
1561,8792,162,Part 1-chapter40
1562,8793,162,Part 1-chapter42
1563,8794,162,Part 1-chapter43
1564,8795,162,Part 1-chapter47
1565,8796,162,Part 1-dedication Of Part 1
1566,8797,162,Part 1-chapter46
1567,8798,162,Part 1-chapter52
1568,8799,162,Part 1-chapter44
1569,8800,162,Part 1-chapter50
1570,8801,162,Part 1-chapter51
1571,8802,162,Part 1-chapter45
1572,8803,162,Part 1-chapter48
1573,8804,162,Part 1-chapter49
1574,8805,162,Part 1-chapter03
1575,8806,162,Part 1-chapter17
1576,8807,162,Part 1-chapter16
1577,8808,162,Part 1-chapter02
1578,8809,162,Part 1-chapter28
1579,8810,162,Part 1-chapter14
1580,8811,162,Part 1-chapter01
1581,8812,162,Part 1-chapter15
1582,8813,162,Part 1-chapter29
1583,8814,162,Part 1-chapter11
1584,8815,162,Part 1-chapter05
